date,city,blood_group,units_demanded,day_of_week,month,is_weekend,is_festival
2023-01-01,Delhi,O+,9,6,1,1,0
2023-01-01,Delhi,O-,1,6,1,1,0
2023-01-01,Delhi,A+,4,6,1,1,0
2023-01-01,Delhi,A-,2,6,1,1,0
2023-01-01,Delhi,B+,10,6,1,1,0
2023-01-01,Delhi,B-,1,6,1,1,0
2023-01-01,Delhi,AB+,6,6,1,1,0
2023-01-01,Delhi,AB-,1,6,1,1,0
2023-01-01,Mumbai,O+,9,6,1,1,0
2023-01-01,Mumbai,O-,3,6,1,1,0
2023-01-01,Mumbai,A+,11,6,1,1,0
2023-01-01,Mumbai,A-,0,6,1,1,0
2023-01-01,Mumbai,B+,12,6,1,1,0
2023-01-01,Mumbai,B-,2,6,1,1,0
2023-01-01,Mumbai,AB+,3,6,1,1,0
2023-01-01,Mumbai,AB-,0,6,1,1,0
2023-01-01,Bangalore,O+,10,6,1,1,0
2023-01-01,Bangalore,O-,3,6,1,1,0
2023-01-01,Bangalore,A+,7,6,1,1,0
2023-01-01,Bangalore,A-,0,6,1,1,0
2023-01-01,Bangalore,B+,10,6,1,1,0
2023-01-01,Bangalore,B-,0,6,1,1,0
2023-01-01,Bangalore,AB+,0,6,1,1,0
2023-01-01,Bangalore,AB-,2,6,1,1,0
2023-01-01,Chennai,O+,6,6,1,1,0
2023-01-01,Chennai,O-,2,6,1,1,0
2023-01-01,Chennai,A+,7,6,1,1,0
2023-01-01,Chennai,A-,0,6,1,1,0
2023-01-01,Chennai,B+,8,6,1,1,0
2023-01-01,Chennai,B-,0,6,1,1,0
2023-01-01,Chennai,AB+,1,6,1,1,0
2023-01-01,Chennai,AB-,0,6,1,1,0
2023-01-01,Kolkata,O+,7,6,1,1,0
2023-01-01,Kolkata,O-,2,6,1,1,0
2023-01-01,Kolkata,A+,4,6,1,1,0
2023-01-01,Kolkata,A-,0,6,1,1,0
2023-01-01,Kolkata,B+,8,6,1,1,0
2023-01-01,Kolkata,B-,0,6,1,1,0
2023-01-01,Kolkata,AB+,2,6,1,1,0
2023-01-01,Kolkata,AB-,0,6,1,1,0
2023-01-02,Delhi,O+,31,0,1,0,0
2023-01-02,Delhi,O-,3,0,1,0,0
2023-01-02,Delhi,A+,15,0,1,0,0
2023-01-02,Delhi,A-,1,0,1,0,0
2023-01-02,Delhi,B+,22,0,1,0,0
2023-01-02,Delhi,B-,2,0,1,0,0
2023-01-02,Delhi,AB+,3,0,1,0,0
2023-01-02,Delhi,AB-,1,0,1,0,0
2023-01-02,Mumbai,O+,19,0,1,0,0
2023-01-02,Mumbai,O-,5,0,1,0,0
2023-01-02,Mumbai,A+,19,0,1,0,0
2023-01-02,Mumbai,A-,3,0,1,0,0
2023-01-02,Mumbai,B+,24,0,1,0,0
2023-01-02,Mumbai,B-,1,0,1,0,0
2023-01-02,Mumbai,AB+,5,0,1,0,0
2023-01-02,Mumbai,AB-,1,0,1,0,0
2023-01-02,Bangalore,O+,18,0,1,0,0
2023-01-02,Bangalore,O-,2,0,1,0,0
2023-01-02,Bangalore,A+,8,0,1,0,0
2023-01-02,Bangalore,A-,1,0,1,0,0
2023-01-02,Bangalore,B+,18,0,1,0,0
2023-01-02,Bangalore,B-,0,0,1,0,0
2023-01-02,Bangalore,AB+,3,0,1,0,0
2023-01-02,Bangalore,AB-,1,0,1,0,0
2023-01-02,Chennai,O+,13,0,1,0,0
2023-01-02,Chennai,O-,8,0,1,0,0
2023-01-02,Chennai,A+,14,0,1,0,0
2023-01-02,Chennai,A-,0,0,1,0,0
2023-01-02,Chennai,B+,12,0,1,0,0
2023-01-02,Chennai,B-,4,0,1,0,0
2023-01-02,Chennai,AB+,1,0,1,0,0
2023-01-02,Chennai,AB-,0,0,1,0,0
2023-01-02,Kolkata,O+,16,0,1,0,0
2023-01-02,Kolkata,O-,1,0,1,0,0
2023-01-02,Kolkata,A+,6,0,1,0,0
2023-01-02,Kolkata,A-,1,0,1,0,0
2023-01-02,Kolkata,B+,12,0,1,0,0
2023-01-02,Kolkata,B-,3,0,1,0,0
2023-01-02,Kolkata,AB+,0,0,1,0,0
2023-01-02,Kolkata,AB-,0,0,1,0,0
2023-01-03,Delhi,O+,19,1,1,0,0
2023-01-03,Delhi,O-,2,1,1,0,0
2023-01-03,Delhi,A+,18,1,1,0,0
2023-01-03,Delhi,A-,2,1,1,0,0
2023-01-03,Delhi,B+,16,1,1,0,0
2023-01-03,Delhi,B-,0,1,1,0,0
2023-01-03,Delhi,AB+,5,1,1,0,0
2023-01-03,Delhi,AB-,1,1,1,0,0
2023-01-03,Mumbai,O+,22,1,1,0,0
2023-01-03,Mumbai,O-,3,1,1,0,0
2023-01-03,Mumbai,A+,9,1,1,0,0
